name,type,required,status,values,category_ids
"Model",dropdown,1,1,"ATS|ATS-V|Brougham|Celestiq|CT4|CT4-V|CT5|CT5-V|CT6|CTS|CTS-V|DeVille|DTS|Eldorado|Escalade|Escalade IQ|Fleetwood|Lyriq|Optiq|Seville|SRX|STS|XT4|XT5|XT6|XLR|XTS","1638"
"Model",dropdown,1,1,"Seven 160|Seven 170|Seven 270|Seven 310|Seven 340|Seven 360|Seven 420|Seven 480|Seven 620|Super Seven 600|Super Seven 2000|Project V|CSR","1639"
"Model",dropdown,1,1,"Arrizo 3|Arrizo 5|Arrizo 6|Arrizo 7|Arrizo 8|Arrizo GX|eQ1|eQ5|eQ7|Fulwin|iCar 03|Jetour X70|Omoda 5|Omoda 7|Omoda C5|Tiggo 2|Tiggo 3|Tiggo 4|Tiggo 5|Tiggo 7|Tiggo 8|Tiggo 9|QQ","1640"
"Model",dropdown,1,1,"Astro|Avalanche|Aveo|Beretta|Blazer|Blazer EV|Bolt|Bolt EUV|Camaro (Classic)|Camaro (Modern)|Captiva|Cavalier|Chevelle|Cobalt|Colorado|Corvair|Corvette (C1)|Corvette (C2)|Corvette (C3)|Corvette (C4)|Corvette (C5)|Corvette (C6)|Corvette (C7)|Corvette (C8)|Corvette E-Ray|Cruze|El Camino|Epica|Equinox|Equinox EV|Express|HHR|Impala|Kalos|Lacetti|Lumina|Malibu|Matiz|Monte Carlo|Niva|Nova|Nubira|Onix|Orlando|S-10|Silverado|Silverado EV|Sonic|Spark|SSR|Suburban|Tahoe|Tracker|TrailBlazer|Traverse|Trax|Venture|Volt","1641"
"Model",dropdown,1,1,"200|300|300C|300M|Aspen|Concorde|Crossfire|Grand Voyager|Imperial|LeBaron|Neon|New Yorker|Pacifica|PT Cruiser|Prowler|Sebring|Stratus|Town & Country|Voyager","1642"
"Model",dropdown,1,1,"2CV|Acadiane|Ami (Classic)|Ami (2020+)|AX|Berlingo|BX|C-Crosser|C-Elysée|C-Zero|C1|C2|C3|C3 Aircross|C3 Picasso|C3 Pluriel|C4|C4 Aircross|C4 Cactus|C4 Grand Picasso|C4 Picasso|C4 SpaceTourer|C4 X|C5|C5 Aircross|C5 X|C6|C8|C15|CX|Dyane|e-C4|e-C4 X|e-Berlingo|e-Jumpy|e-SpaceTourer|Evasion|GS|GSA|Jumper|Jumpy|Mehari|Nemo|Saxo|SM|Spacetourer|Traction Avant|Visa|Xantia|XM|Xsara|Xsara Picasso|ZX","1643"
"Model",dropdown,1,1,"Ateca|Born|Formentor|Leon|Leon Sportstourer|Tavascan|Terramar","1644"
"Model",dropdown,1,1,"1300|1310|1325|1410|Dokker|Duster|Jogger|Lodgy|Logan|Logan MCV|Logan Stepway|Nova|Pick-up|Sandero|Sandero Stepway|Solenza|Spring (Electric)|Bigster","1645"
"Model",dropdown,1,1,"Cielo|Damas|Espero|Evanda|Gentra|Kalos|Korando|Lacetti|Lanos|Leganza|Matiz|Musso|Nexia|Nubira|Prince|Racer|Rezzo|Tacuma|Tico|Tosca|Winstorm","1646"
"Model",dropdown,1,1,"Altis|Applause|Atrai|Boon|Charade|Copen|Cuore|Delta|Feroza|Gran Move|Hijet|Materia|Mira|Move|Rocky (Classic)|Rocky (2019+)|Rugger|Sirion|Taft|Tanto|Terios|Trevis|YRV","1647"
"Model",dropdown,1,1,"400|600|Aries|Avenger|Caliber|Caravan|Challenger (Classic)|Challenger (Modern)|Charger (Classic)|Charger (Modern)|Colt|Coronet|D-Series|Dakota|Dart (Classic)|Dart (2013-2016)|Demon|Durango|Grand Caravan|Hornet|Intrepid|Journey|Magnum|Neon|Nitro|Omni|Power Wagon|Ram|RAM 1500|RAM 2500|RAM 3500|Shadow|Stealth|Stratus|Viper","1648"
"Model",dropdown,1,1,"D8|D8 GTO|D8 GTO Individual Series|D8 GTO JD-70|F22|S7|S8|Stradale","1649"
"Model",dropdown,1,1,"DS 3|DS 3 Crossback|DS 3 E-Tense|DS 4|DS 4 Crossback|DS 4 Cross|DS 4 E-Tense|DS 5|DS 5LS|DS 6|DS 7|DS 7 Crossback|DS 7 E-Tense|DS 8|DS 9|DS 9 E-Tense","1650"
"Model",dropdown,1,1,"12cilindri|208 GT4|246 Dino|250 GT|250 GTE|250 GTO|275 GTB|288 GTO|296 GTB|296 GTS|308 GTB/GTS|328 GTB/GTS|330|348 tb/ts|360 Modena|360 Spider|365|400|412|430 Scuderia|456|458 Italia|458 Spider|458 Speciale|488 GTB|488 Pista|488 Spider|512|550 Maranello|575M|599 GTB Fiorano|599 GTO|612 Scaglietti|812 Competizione|812 GTS|812 Superfast|California|California T|Daytona SP3|Dino|Enzo|F12berlinetta|F12tdf|F355|F40|F430|F430 Spider|F50|F8 Spider|F8 Tributo|FF|GTC4Lusso|GTC4Lusso T|LaFerrari|LaFerrari Aperta|Mondial|Portofino|Portofino M|Purosangue|Roma|Roma Spider|SF90 Spider|SF90 Stradale|SF90 XX|Superamerica|Testarossa","1651"
"Model",dropdown,1,1,"124 Coupe|124 Spider (Classic)|124 Spider (Modern)|126 (Peglica)|127|128|130|131|132|500 (Classic)|500 (Modern)|500 Abarth|500C|500e|500L|500X|600 (Classic)|600 (Modern)|600e|850|Albea|Argenta|Barchetta|Brava|Bravo|Cinquecento|Coupe|Croma (Classic)|Croma (Modern)|Dino|Doblo|Ducato|Fiorino|Freemont|Fullback|Grande Punto|Idea|Linea|Marea|Multipla|Palio|Panda (Classic)|Panda (Modern)|Panda Cross|Punto (Classic)|Punto (Mk2)|Punto Evo|Qubo|Regata|Ritmo|Scudo|Sedici|Seicento|Stilo|Strada|Talento|Tempra|Tipo (Classic)|Tipo (Modern)|Topolino (2023+)|Ulysse|Uno|X1/9","1652"
"Model",dropdown,1,1,"Alaska|Karma|Ocean|Pear|Ronin","1653"
"Model",dropdown,1,1,"Aerostar|Aspire|B-Max|Bronco|Bronco Sport|C-Max|Capri (Classic)|Capri (Modern 2024+)|Contour|Cougar|Crown Victoria|E-Series|EcoSport|Edge|Escape|Escort|Excursion|Expedition|Explorer|Explorer EV|F-150|F-150 Lightning|F-250|F-350|Fairlane|Falcon|Festiva|Fiesta|Five Hundred|Flex|Focus|Focus C-Max|Focus RS|Focus ST|Freestar|Freestyle|Fusion|Galaxy|Granada|GT|GT40|Ka|Ka+|Kuga|Maverick|Mondeo|Mustang|Mustang Mach-E|Orion|Pinto|Probe|Puma|Ranger|Raptor|S-Max|Scorpio|Sierra|Taunus|Taurus|Thunderbird|Torino|Tourneo Connect|Tourneo Courier|Tourneo Custom|Transit|Transit Connect|Transit Custom|Windstar","1654"
"Model",dropdown,1,1,"12|13|21|24|31|3102|3110|3111|66|Chaika|Gazelle|Gazelle Next|Gazelle NN|M1|M20 Pobeda|M21|M22|Siber|Sobol|Tigr|Volga","1655"
"Model",dropdown,1,1,"Atlas|Azkarra|Binray|Bo Rui|Coolray|Emgrand|Emgrand EC7|Emgrand X7|EX5|Galaxy|Geometry A|Geometry C|Geometry E|GX3 Pro|Icon|Monjaro|MK|Okavango|Preface|Starray|Tugella|Vision","1656"
"Model",dropdown,1,1,"G70|G80|G90|Electrified G80|GV60|GV70|Electrified GV70|GV80|GV80 Coupe","1657"
"Model",dropdown,1,1,"Acadia|Canyon|Envoy|Hummer EV|Hummer EV SUV|Jimmy|Safari|Savana|Sierra|Sonoma|Syclone|Terrain|Typhoon|Yukon|Yukon XL","1658"
"Model",dropdown,1,1,"Cannon|Dargo|Euler|Haval Dargo|Haval F7|Haval H1|Haval H2|Haval H4|Haval H5|Haval H6|Haval H7|Haval H8|Haval H9|Haval Jolion|Haval M6|Hover|Ora 03|Ora 07|Ora Funky Cat|Pao|Poer|Pao|Safe|Steed|Tank 300|Tank 400|Tank 500|Tank 700|Wey Coffee 01|Wey Coffee 02|Wingle|Wingle 5|Wingle 6|Wingle 7","1659"
"Model",dropdown,1,1,"Accord|Amaze|Brio|City|Civic (Classic)|Civic (Modern)|Civic Type R|Clarity|Concerto|CR-V|CR-Z|Crosstour|e|e:Ny1|e:NS1|Element|Elysion|FCX Clarity|Fit|FR-V|HR-V|Insight|Integra (Classic)|Integra (2022+)|Jazz|Legend|Logo|N-Box|NSX (Classic)|NSX (2016-2022)|Odyssey|Passport|Pilot|Prelude|Prologue|Ridgeline|S2000|S660|Shuttle|StepWGN|Stream|Vezel|ZR-V","1660"
"Model",dropdown,1,1,"H1|H2|H2 SUT|H3|H3T|HX","1661"
"Model",dropdown,1,1,"Accent|Atos|Bayon|Casper|Coupe|Creta|Elantra|Excel|Galloper|Genesis (2008-2014)|Getz|Grandeur|H-1|H-100|H350|i10|i20|i30|i30 N|i40|i45|Inster|Ioniq|Ioniq 5|Ioniq 5 N|Ioniq 6|Ioniq 7|ix20|ix35|ix55|Kona|Kona N|Kona Electric|Lantra|Lavita|Matrix|Nexo|Palisade|Pony|Santa Cruz|Santa Fe|Santamo|Scoupe|Sonata|Starex|Staria|Terracan|Tiburon|Trajet|Tucson|Veloster|Veloster N|Venue|Veracruz|XG","1662"
"Model",dropdown,1,1,"EX25|EX30|EX35|EX37|FX30|FX35|FX37|FX45|FX50|G20|G25|G35|G37|I30|I35|J30|JX35|M30|M35|M35h|M37|M45|M56|Q30|Q45|Q50|Q60|Q70|QX4|QX30|QX50|QX55|QX56|QX60|QX70|QX80","1663"
"Model",dropdown,1,1,"Ascender|Axiom|D-Max|Gemini|Hombre|i-280|i-290|i-350|i-370|Impulse|KB|MU-X|N-Series|Oasis|Pick-up|Rodeo|Stylus|Trooper|VehiCROSS","1664"
"Model",dropdown,1,1,"Crossway|Daily|EuroCargo|Euromover|Massif|S-Way|Stralis|Trakker|X-Way","1665"
"Model",dropdown,1,1,"420|E-Pace|F-Pace|F-Type|I-Pace|Mark 2|S-Type|X-Type|XE|XF|XJ (Classic)|XJ (X350)|XJ (X351)|XJS|XJ6|XJ8|XJ12|XJR|XK|XK8|XKR|XKR-S","1666"
"Model",dropdown,1,1,"Avenger|Cherokee (XJ)|Cherokee (KJ)|Cherokee (KK)|Cherokee (KL)|CJ|CJ-5|CJ-7|Comanche|Commander|Compass|Gladiator|Grand Cherokee (ZJ)|Grand Cherokee (WJ)|Grand Cherokee (WK)|Grand Cherokee (WK2)|Grand Cherokee (WL)|Grand Cherokee L|Grand Wagoneer (Classic)|Grand Wagoneer (2022+)|Liberty|Patriot|Renegade|Wagoneer (2022+)|Wrangler (YJ)|Wrangler (TJ)|Wrangler (JK)|Wrangler (JL)","1667"
"Model",dropdown,1,1,"K350|K900|Revero|Revero GT","1668"
"Model",dropdown,1,1,"Besta|Borrego|Cadenza|Carens|Carnival|Ceed|Ceed SW|Cerato|Clarus|EV3|EV5|EV6|EV9|Forte|Joice|K3|K5|K7|K8|K9|Magentis|Mentor|Mohave|Niro|Niro EV|Opirus|Optima|Pegas|Picanto|Pregio|Pride|ProCeed|Quoris|Ray|Retona|Rio|Sedona|Seltos|Sephia|Shuma|Sorento|Soul|Soul EV|Spectra|Sportage|Stinger|Stonic|Telluride|Venga|XCeed","1669"
"Model",dropdown,1,1,"Agera|Agera R|Agera RS|Agera S|CC|CC850|CC8S|CCR|CCGT|CCX|CCXR|Gemera|Jesko|Jesko Absolut|Jesko Attack|One:1|Regera","1670"
"Model",dropdown,1,1,"X-Bow|X-Bow GT|X-Bow GT-XR|X-Bow GT2|X-Bow GTX|X-Bow R|X-Bow RR|X-Bow Street","1671"
"Model",dropdown,1,1,"110|111|112|1200|1300|1500|2101 (Kopeika)|2102|2103|2104|2105|2106|2107|2108 (Samara)|2109|21099|2110|2111|2112|2113|2114|2115|2120|2121 (Niva)|2123|2129|2131|2329|4x4 (Niva)|Granta|Granta Cross|Kalina|Kalina Cross|Largus|Largus Cross|Nadežda|Niva Legend|Niva Travel|Nova|Oka|Priora|Riva|Samara|Vesta|Vesta Cross|Vesta SW|Vesta SW Cross|XRAY|XRAY Cross","1672"
"Model",dropdown,1,1,"350 GT|400 GT|Aventador|Aventador LP700-4|Aventador LP750-4 SV|Aventador S|Aventador SVJ|Aventador Ultimae|Countach|Countach LPI 800-4|Diablo|Espada|Gallardo|Gallardo LP550|Gallardo LP560|Gallardo LP570|Gallardo Spyder|Huracan|Huracan EVO|Huracan Performante|Huracan STO|Huracan Sterrato|Huracan Tecnica|Islero|Jarama|Jalpa|LM002|Miura|Murcielago|Murcielago LP640|Murcielago LP670|Revuelto|Sian|Temerario|Urus|Urus Performante|Urus S|Urus SE|Veneno","1673"
"Model",dropdown,1,1,"Appia|Ardea|Augusta|Aurelia|Beta|Dedra|Delta (Classic)|Delta (2008-2014)|Delta HF Integrale|Flaminia|Flavia (Classic)|Flavia (2012-2014)|Fulvia|Gamma|Kappa|Lybra|Montecarlo|Musa|Phedra|Prisma|Stratos|Thema (Classic)|Thema (2011-2014)|Thesis|Trevi|Voyager|Y (Ypsilon Classic)|Ypsilon (2003-2011)|Ypsilon (2011-2020)|Ypsilon (2024+)|Zeta","1674"
"Model",dropdown,1,1,"Defender 90 (Classic)|Defender 90 (2020+)|Defender 110 (Classic)|Defender 110 (2020+)|Defender 130|Discovery 1|Discovery 2|Discovery 3|Discovery 4|Discovery 5|Discovery Sport|Freelander 1|Freelander 2|Range Rover (Classic)|Range Rover (P38)|Range Rover (L322)|Range Rover (L405)|Range Rover (L460)|Range Rover Evoque|Range Rover Sport (L320)|Range Rover Sport (L494)|Range Rover Sport (L461)|Range Rover Velar|Series I|Series II|Series IIA|Series III","1675"
"Model",dropdown,1,1,"CT 200h|ES 250|ES 300|ES 300h|ES 330|ES 350|GS 200t|GS 300|GS 350|GS 430|GS 450h|GS F|GX 460|GX 470|GX 550|HS 250h|IS 200|IS 220d|IS 250|IS 300|IS 350|IS 500|IS C|IS F|LBX|LC 500|LC 500h|LFA|LM 350h|LM 500h|LS 400|LS 430|LS 460|LS 500|LS 500h|LS 600h|LX 450|LX 470|LX 570|LX 600|NX 200t|NX 250|NX 300|NX 300h|NX 350|NX 350h|NX 450h+|RC 200t|RC 300|RC 350|RC F|RX 200t|RX 300|RX 330|RX 350|RX 350h|RX 400h|RX 450h|RX 450h+|RX 500h|RZ 450e|SC 300|SC 400|SC 430|TX 350|TX 500h|TX 550h+|UX 200|UX 250h|UX 300e|UX 300h","1676"
"Model",dropdown,1,1,"Aviator|Blackwood|Continental|Continental Mark III|Continental Mark IV|Continental Mark V|Corsair|LS|Mark LT|Mark VII|Mark VIII|MKC|MKS|MKT|MKX|MKZ|Nautilus|Navigator|Star|Town Car|Zephyr","1677"
"Model",dropdown,1,1,"2-Eleven|3-Eleven|340R|Cortina|Elan|Eletre|Emeya|Emira|Esprit|Esprit Turbo|Europa|Evija|Evora|Evora 400|Evora GT|Evora GT410|Exige|Exige S|Elise|Elise S|Excel","1678"
"Model",dropdown,1,1,"Air|Air Dream Edition|Air Grand Touring|Air Pure|Air Sapphire|Air Touring|Gravity","1679"
"Model",dropdown,1,1,"01|02|03|04|05|06|07|08|09","1680"
"Model",dropdown,1,1,"Alturas G4|Armada|BE 6|Bolero|Bolero Neo|CJ|Commander|e2o|eKUV100|eVerito|Goa|Jeep|KUV100|KUV100 NXT|Marazzo|Marshal|MM540|MM550|Nuvosport|Pick-up|Pik-Up|Quanto|Roxor|Scorpio|Scorpio N|Thar|Thar Roxx|TUV300|Verito|XUV300|XUV400|XUV500|XUV700|XUV 3XO|Xylo","1681"
"Model",dropdown,1,1,"222|228|3200 GT|420|4200 GT|Biturbo|Bora|Ghibli (Classic)|Ghibli (Modern)|GranCabrio|GranSport|GranTurismo (Classic)|GranTurismo (Modern)|Grecale|Indy|Karif|Khamsin|Kyalami|Levante|MC12|MC20|MC20 Cielo|Merak|Mexico|Mistral|Quattroporte (Classic)|Quattroporte (Modern)|Royale|Shamal|Spyder","1682"
"Model",dropdown,1,1,"57|57S|62|62S|Exelero|S-Class Maybach (X222)|S-Class Maybach (Z223)|GLS Maybach|EQS SUV Maybach|Landaulet","1683"
"Model",dropdown,1,1,"121|2|3|323|5|6|626|808|818|929|Axela|B-Series|BT-50|Capella|Carol|CX-3|CX-30|CX-4|CX-5|CX-50|CX-60|CX-7|CX-70|CX-8|CX-80|CX-9|CX-90|Demio|E-Series|Familia|Lantis|Millenia|MPV|MX-3|MX-30|MX-5 (NA)|MX-5 (NB)|MX-5 (NC)|MX-5 (ND)|MX-6|Premacy|Protege|RX-7|RX-8|Tribute|Verisa|Xedos 6|Xedos 9","1684"
"Model",dropdown,1,1,"540C|570GT|570S|570S Spider|600LT|600LT Spider|620R|650S|650S Spider|675LT|675LT Spider|720S|720S Spider|750S|750S Spider|765LT|765LT Spider|Artura|Artura Spider|Elva|F1|F1 GTR|F1 LM|GT|GTS|MP4-12C|MP4-12C Spider|P1|P1 GTR|Senna|Senna GTR|Solus GT|Speedtail|W1","1685"
"Model",dropdown,1,1,"170|180|190 (W201)|200|220|230|240|250|260|280|300|300SL|320|350|380|420|450|500|560|600|A-Klasa (W168)|A-Klasa (W169)|A-Klasa (W176)|A-Klasa (W177)|AMG GT|AMG GT 4-Door|AMG One|AMG SL|B-Klasa (W245)|B-Klasa (W246)|B-Klasa (W247)|C-Klasa (W202)|C-Klasa (W203)|C-Klasa (W204)|C-Klasa (W205)|C-Klasa (W206)|Citan|CL (C215)|CL (C216)|CLA (C117)|CLA (C118)|CLC|CLK (C208)|CLK (C209)|CLS (C219)|CLS (C257)|E-Klasa (W124)|E-Klasa (W210)|E-Klasa (W211)|E-Klasa (W212)|E-Klasa (W213)|E-Klasa (W214)|EQA|EQB|EQC|EQE|EQE SUV|EQS|EQS SUV|EQT|EQV|G-Klasa (W460)|G-Klasa (W461)|G-Klasa (W463)|GL (X164)|GL (X166)|GLA (X156)|GLA (H247)|GLB (X247)|GLC (X253)|GLC (X254)|GLC Coupe|GLE (W166)|GLE (V167)|GLE Coupe|GLK (X204)|GLS (X166)|GLS (X167)|ML (W163)|ML (W164)|ML (W166)|R-Klasa (W251)|S-Klasa (W126)|S-Klasa (W140)|S-Klasa (W220)|S-Klasa (W221)|S-Klasa (W222)|S-Klasa (W223)|SL (R107)|SL (R129)|SL (R230)|SL (R231)|SL (R232)|SLC (R172)|SLK (R170)|SLK (R171)|SLK (R172)|SLR McLaren|SLS AMG|Sprinter|T-Klasa|V-Klasa (W447)|V-Klasa (W638)|V-Klasa (W639)|Vaneo|Viano|Vito|X-Klasa","1686"
"Model",dropdown,1,1,"3|4|5|Cyberster|EHS|F|GS|HS|Marvel R|MG3|MG4 Electric|MG5|MG5 Electric|MG6|MG7|MGA|MGB|MGB GT|MGC|MGF|Midget|One|RV8|TF|XPower SV|ZR|ZS|ZS EV|ZT|ZT-T","1687"
"Model",dropdown,1,1,"Aceman|Cabrio (R52)|Cabrio (R57)|Cabrio (F57)|Clubman (R55)|Clubman (F54)|Countryman (R60)|Countryman (F60)|Countryman (U25)|Coupe (R58)|Hatch 3-dr (R50/R53)|Hatch 3-dr (R56)|Hatch 3-dr (F55/F56)|Hatch 5-dr (F55)|One|Cooper|Cooper S|Cooper SD|Cooper SE (Electric)|John Cooper Works|Paceman (R61)|Roadster (R59)","1688"
"Model",dropdown,1,1,"3000 GT|ASX|Attrage|Canter|Carisma|Colt|Cordia|Delica|Diamante|Eclipse|Eclipse Cross|eK|Endeavor|Expo|FTO|Galant|Grandis|GTO|i-MiEV|L200|L300|L400|Lancer|Lancer Evolution (I-X)|Minica|Mirage|Montero|Outlander|Outlander PHEV|Pajero|Pajero iO|Pajero Pinin|Pajero Sport|Raider|RVR|Sigma|Space Gear|Space Runner|Space Star|Space Wagon|Starion|Toppo|Triton|Xpander","1689"
"Model",dropdown,1,1,"3-Wheeler|4-Seater|4/4|44|Aero|Aero 8|Aero GT|Aero SuperSports|Moga|Plus 4|Plus 6|Plus 8|Plus 8 GTR|Roadster|Super 3","1690"
"Model",dropdown,1,1,"EC6|EC7|EL6|EL7|EL8|EP9|ES6|ES7|ES8|ET5|ET5 Touring|ET7|ET9|EF9","1691"
"Model",dropdown,1,1,"100NX|180SX|200SX|240SX|240Z|260Z|280Z|280ZX|300ZX|350Z|370Z|Almera|Almera Tino|Altima|Ariya|Armada|Axxess|Bluebird|Cedric|Cherry|Cube|Cima|D21|Elgrand|Figaro|Frontier|Gloria|GT-R|Interstar|Juke|Kicks|Kubistar|Laurel|Leaf|Maxima|Micra|Murano|Navara|Note|NP300|NV200|NV300|NV400|Pathfinder|Patrol|Pao|Pick-up|Pixo|Prairie|President|Primastar|Primera|Pulsar|Qashqai|Qashqai+2|Quest|Rogue|Sentra|Serena|Silvia|Skyline|Stagea|Stanza|Sunny|Sylphy|Teana|Terra|Terrano|Tiida|Titan|Townstar|Vanette|Versa|X-Trail|Xterra|Z (2023+)","1692"
"Model",dropdown,1,1,"Adam|Agila|Ampera|Ampera-e|Antara|Ascona|Astra (F)|Astra (G)|Astra (H)|Astra (J)|Astra (K)|Astra (L)|Astra Electric|Calibra|Campo|Cascada|Combo|Combo Electric|Corsa (A)|Corsa (B)|Corsa (C)|Corsa (D)|Corsa (E)|Corsa (F)|Corsa Electric|Crossland|Crossland X|Diplomat|Experimental|Frontera (Classic)|Frontera (2024+)|Grandland|Grandland X|GT|Insignia|Insignia Grand Sport|Kadett|Karl|Manta|Meriva|Mokka|Mokka Electric|Mokka X|Monterey|Monza|Movano|Movano Electric|Omega|Rekord|Rocks-e|Senator|Signum|Sintra|Speedster|Tigra|Vectra (A)|Vectra (B)|Vectra (C)|Vivaro|Vivaro Electric|Zafira|Zafira Life|Zafira Electric","1693"
"Model",dropdown,1,1,"C10|Huayra|Huayra BC|Huayra Codalunga|Huayra R|Huayra R Evo|Huayra Roadster|Huayra Roadster BC|Imola|Utopia|Utopia Roadster|Zonda|Zonda C12|Zonda Cinque|Zonda F|Zonda HP Barchetta|Zonda R|Zonda Revolucion|Zonda S","1694"
"Model",dropdown,1,1,"1007|104|106|107|108|2008|204|205|206|206 CC|206 Plus|206 SW|207|207 CC|207 SW|208|208 GTI|3008|301|304|305|306|307|307 CC|307 SW|308|308 CC|308 GTI|308 SW|309|4007|4008|404|405|406|406 Coupe|407|407 Coupe|407 SW|408|5008|504|505|508|508 PSE|508 SW|604|605|607|806|807|Bipper|Boxer|e-208|e-2008|e-308|e-3008|e-5008|e-Rifter|e-Traveller|Expert|iOn|Landtrek|Partner|RCZ|Rifter|Traveller","1695"
"Model",dropdown,1,1,"1|2|3|4|5|6","1696"
